id,valor
venda-0001,253.86
venda-0002,402.18
venda-0003,955.52
venda-0004,179.63
venda-0005,602.50
venda-0006,938.65
venda-0007,965.30
venda-0008,751.85
venda-0009,104.02
venda-0010,622.54
venda-0011,191.77
venda-0012,311.50
venda-0013,884.78
venda-0014,29.83
venda-0015,178.15
venda-0016,811.23
venda-0017,56.47
venda-0018,886.92
venda-0019,699.10
venda-0020,215.02
venda-0021,460.23
venda-0022,771.99
venda-0023,319.66
venda-0024,419.19
venda-0025,259.23
venda-0026,756.35
venda-0027,896.72
venda-0028,115.56
venda-0029,398.61
venda-0030,332.82
venda-0031,536.18
venda-0032,541.06
venda-0033,807.48
venda-0034,847.36
venda-0035,447.21
venda-0036,540.24
venda-0037,649.77
venda-0038,100.24
venda-0039,52.32
venda-0040,549.65
venda-0041,204.24
venda-0042,873.80
venda-0043,40.55
venda-0044,91.42
venda-0045,68.60
venda-0046,428.96
venda-0047,78.93
venda-0048,606.93
venda-0049,384.44
venda-0050,306.11
venda-0051,605.01
venda-0052,579.69
venda-0053,59.86
venda-0054,349.22
venda-0055,37.46
venda-0056,806.97
venda-0057,203.97
venda-0058,576.39
venda-0059,810.35
venda-0060,916.62
venda-0061,85.54
venda-0062,888.54
venda-0063,583.95
venda-0064,157.29
venda-0065,587.26
venda-0066,889.37
venda-0067,468.93
venda-0068,462.95
venda-0069,459.64
venda-0070,766.96
venda-0071,410.88
venda-0072,316.98
venda-0073,657.72
venda-0074,649.59
venda-0075,830.15
venda-0076,927.27
venda-0077,901.65
venda-0078,67.70
venda-0079,896.13
venda-0080,550.02
venda-0081,191.75
venda-0082,188.07
venda-0083,181.60
venda-0084,330.88
venda-0085,687.51
venda-0086,382.88
venda-0087,39.03
venda-0088,329.86
venda-0089,446.30
venda-0090,340.43
venda-0091,932.91
venda-0092,672.50
venda-0093,887.56
venda-0094,28.53
venda-0095,426.86
venda-0096,237.54
venda-0097,618.68
venda-0098,263.04
venda-0099,273.08
venda-0100,403.87
venda-0101,422.81
venda-0102,956.93
venda-0103,424.31
venda-0104,319.59
venda-0105,746.73
venda-0106,664.74
venda-0107,386.78
venda-0108,790.39
venda-0109,66.82
venda-0110,572.69
venda-0111,215.14
venda-0112,344.73
venda-0113,817.66
venda-0114,433.17
venda-0115,543.34
venda-0116,781.42
venda-0117,875.82
venda-0118,580.13
venda-0119,688.56
venda-0120,839.52
venda-0121,861.82
venda-0122,478.80
venda-0123,912.43
venda-0124,199.58
venda-0125,128.07
venda-0126,250.89
venda-0127,16.31
venda-0128,429.57
venda-0129,154.86
venda-0130,333.96
venda-0131,291.18
venda-0132,438.97
venda-0133,518.36
venda-0134,34.01
venda-0135,678.41
venda-0136,828.61
venda-0137,308.47
venda-0138,844.87
