cliente_id,nome,regiao
1,Cliente 001,Norte
2,Cliente 002,Norte
3,Cliente 003,Sudeste
4,Cliente 004,Sul
5,Cliente 005,Sul
6,Cliente 006,Sul
7,Cliente 007,Norte
8,Cliente 008,Nordeste
9,Cliente 009,Norte
10,Cliente 010,Nordeste
11,Cliente 011,Centro-Oeste
12,Cliente 012,Norte
13,Cliente 013,Norte
14,Cliente 014,Norte
15,Cliente 015,Sul
16,Cliente 016,Sul
17,Cliente 017,Nordeste
18,Cliente 018,Nordeste
19,Cliente 019,Norte
20,Cliente 020,Nordeste
21,Cliente 021,Sul
22,Cliente 022,Nordeste
23,Cliente 023,Centro-Oeste
24,Cliente 024,Sul
25,Cliente 025,Centro-Oeste
26,Cliente 026,Nordeste
27,Cliente 027,Sudeste
28,Cliente 028,Norte
29,Cliente 029,Sul
30,Cliente 030,Centro-Oeste
31,Cliente 031,Sudeste
32,Cliente 032,Sudeste
33,Cliente 033,Sul
34,Cliente 034,Sul
35,Cliente 035,Sudeste
36,Cliente 036,Norte
37,Cliente 037,Norte
38,Cliente 038,Centro-Oeste
39,Cliente 039,Norte
40,Cliente 040,Sudeste
41,Cliente 041,Sudeste
42,Cliente 042,Nordeste
43,Cliente 043,Sudeste
44,Cliente 044,Norte
45,Cliente 045,Centro-Oeste
46,Cliente 046,Nordeste
47,Cliente 047,Norte
48,Cliente 048,Centro-Oeste
49,Cliente 049,Norte
50,Cliente 050,Nordeste
