id,cliente_id,categoria,valor,data
1,19,servicos,886.6,2024-07-04
2,37,livros,707.53,2024-01-24
3,43,livros,775.34,2024-02-10
4,15,eletronicos,386.32,2024-08-20
5,41,alimentos,171.03,2024-06-30
6,14,alimentos,704.8,2024-12-15
7,42,eletronicos,613.04,2024-03-28
8,35,livros,171.77,2024-07-13
9,18,servicos,227.42,2024-06-15
10,50,eletronicos,236.76,2024-01-17
11,21,roupas,275.06,2024-04-18
12,37,alimentos,220.5,2024-09-12
13,26,roupas,151.44,2024-03-12
14,16,servicos,543.59,2024-10-26
15,28,servicos,405.41,2024-04-22
16,9,servicos,498.58,2024-01-25
17,8,livros,631.17,2024-12-14
18,28,servicos,72.89,2024-07-14
19,39,roupas,533.82,2024-10-10
20,1,eletronicos,684.89,2024-10-01
21,49,alimentos,770.91,2024-06-23
22,8,alimentos,440.42,2024-08-20
23,1,alimentos,972.17,2024-04-01
24,33,eletronicos,871.81,2024-06-01
25,41,servicos,612.88,2024-03-19
26,24,livros,543.99,2024-09-28
27,1,servicos,330.91,2024-01-10
28,8,alimentos,879.93,2024-06-06
29,16,eletronicos,248.46,2024-10-17
30,6,eletronicos,734.59,2024-02-05
31,49,servicos,768.18,2024-03-06
32,43,roupas,947.38,2024-03-25
33,17,servicos,873.71,2024-08-04
34,14,servicos,757.71,2024-12-19
35,13,alimentos,405.0,2024-12-09
36,42,alimentos,443.72,2024-09-21
37,29,eletronicos,255.43,2024-02-02
38,22,eletronicos,592.43,2024-04-27
39,38,livros,17.12,2024-12-28
40,41,eletronicos,236.65,2024-01-17
41,22,eletronicos,519.01,2024-05-22
42,43,roupas,222.09,2024-03-08
43,47,servicos,580.45,2024-05-04
44,31,roupas,198.51,2024-02-19
45,43,roupas,360.75,2024-07-29
46,30,eletronicos,676.63,2024-11-26
47,7,eletronicos,408.6,2024-06-22
48,7,livros,199.67,2024-10-01
49,29,livros,427.66,2024-05-22
50,30,livros,875.74,2024-02-08
51,29,servicos,106.93,2024-11-29
52,35,eletronicos,969.31,2024-05-01
53,11,roupas,490.78,2024-04-19
54,26,eletronicos,172.99,2024-01-02
55,25,alimentos,927.25,2024-08-20
56,19,roupas,699.63,2024-10-11
57,43,roupas,163.25,2024-05-31
58,14,eletronicos,583.39,2024-10-04
59,4,alimentos,66.59,2024-10-26
60,31,servicos,920.19,2024-09-28
61,11,eletronicos,961.17,2024-02-11
62,12,eletronicos,599.08,2024-12-11
63,16,roupas,128.69,2024-10-18
64,16,servicos,598.57,2024-11-13
65,6,roupas,660.8,2024-10-16
66,34,alimentos,935.36,2024-04-14
67,43,alimentos,246.3,2024-07-21
68,9,alimentos,462.65,2024-02-07
69,1,roupas,624.95,2024-10-15
70,7,eletronicos,542.26,2024-09-16
71,17,livros,933.93,2024-02-05
72,16,alimentos,292.14,2024-08-12
73,35,alimentos,615.56,2024-11-30
74,34,eletronicos,671.18,2024-10-10
75,20,eletronicos,939.54,2024-03-09
76,17,eletronicos,890.82,2024-10-10
77,10,alimentos,288.94,2024-04-17
78,46,alimentos,211.56,2024-11-20
79,17,servicos,493.65,2024-01-27
