id,data,categoria,produto,quantidade,preco_unitario,regiao,cliente_id
1,2024-11-23,eletronicos,Notebook,5,259.99,Nordeste,48
2,2024-02-22,servicos,Consultoria,10,433.48,Norte,6
3,2024-04-21,roupas,Meia,10,46.01,Nordeste,46
4,2024-11-28,servicos,Auditoria,4,460.22,Centro-Oeste,1
5,2024-03-22,livros,Engenharia,5,172.37,Centro-Oeste,7
6,2024-02-17,livros,Rust,6,850.54,Sul,17
7,2024-01-23,livros,Historia,2,973.65,Sudeste,6
8,2024-10-09,alimentos,Acucar,6,585.81,Norte,3
9,2024-12-04,roupas,Jaqueta,2,858.21,Norte,25
10,2024-05-22,livros,Engenharia,3,382.78,Nordeste,43
11,2024-05-16,eletronicos,Webcam,3,543.46,Nordeste,11
12,2024-08-24,livros,Engenharia,9,235.22,Centro-Oeste,50
13,2024-01-29,roupas,Camiseta,6,413.14,Norte,14
14,2024-10-17,alimentos,Feijao,8,407.72,Sudeste,10
15,2024-05-15,roupas,Calca,9,548.2,Sul,28
16,2024-10-25,livros,Engenharia,4,997.38,Nordeste,33
17,2024-09-09,eletronicos,Notebook,2,169.78,Nordeste,44
18,2024-08-04,servicos,Consultoria,7,393.99,Sudeste,34
19,2024-05-08,servicos,Consultoria,2,688.08,Sul,49
20,2024-05-16,alimentos,Arroz,5,446.07,Sudeste,1
21,2024-05-14,servicos,Suporte,9,914.38,Centro-Oeste,41
22,2024-09-16,servicos,Suporte,3,386.44,Nordeste,35
23,2024-09-28,eletronicos,Webcam,6,498.83,Norte,24
24,2024-06-06,roupas,Camiseta,4,880.45,Norte,6
25,2024-09-05,eletronicos,Webcam,3,145.82,Sudeste,36
26,2024-03-25,alimentos,Acucar,10,434.68,Nordeste,35
27,2024-12-19,roupas,Jaqueta,7,995.25,Centro-Oeste,29
28,2024-09-21,livros,Rust,4,240.2,Centro-Oeste,2
29,2024-10-28,servicos,Suporte,10,235.81,Norte,46
30,2024-11-19,eletronicos,Mouse,2,907.31,Centro-Oeste,5
31,2024-09-20,roupas,Jaqueta,8,229.95,Nordeste,47
32,2024-10-19,servicos,Auditoria,4,788.93,Sudeste,13
33,2024-02-18,eletronicos,Monitor,6,435.11,Sudeste,47
34,2024-01-28,eletronicos,Notebook,7,733.65,Norte,16
35,2024-04-08,roupas,Meia,8,157.38,Nordeste,18
36,2024-08-24,roupas,Camiseta,8,811.86,Sul,7
37,2024-01-26,servicos,Consultoria,2,927.84,Nordeste,11
38,2024-07-27,livros,Ficcao,4,867.36,Norte,11
39,2024-07-13,eletronicos,Monitor,5,927.99,Sudeste,19
40,2024-08-04,servicos,Auditoria,3,206.1,Nordeste,4
41,2024-10-23,servicos,Consultoria,6,76.02,Sul,31
42,2024-09-14,servicos,Suporte,1,961.56,Norte,12
43,2024-02-05,servicos,Consultoria,4,415.7,Sul,16
44,2024-10-23,servicos,Consultoria,10,100.34,Sul,37
45,2024-09-24,alimentos,Cafe,4,676.33,Centro-Oeste,16
46,2024-05-15,livros,Python,5,468.08,Norte,1
47,2024-08-22,servicos,Design,2,91.8,Nordeste,33
48,2024-05-15,roupas,Jaqueta,2,881.68,Centro-Oeste,19
49,2024-03-21,livros,Historia,5,619.44,Sul,1
50,2024-12-07,servicos,Treinamento,2,940.15,Nordeste,17
51,2024-02-29,eletronicos,Webcam,3,286.9,Sul,14
52,2024-06-24,roupas,Jaqueta,9,498.76,Norte,6
53,2024-11-20,livros,Engenharia,1,23.47,Nordeste,41
54,2024-05-14,roupas,Tenis,9,711.55,Sul,1
55,2024-02-27,eletronicos,Mouse,9,55.31,Centro-Oeste,38
56,2024-10-09,roupas,Tenis,3,60.99,Centro-Oeste,3
57,2024-07-02,roupas,Calca,2,366.61,Sul,27
58,2024-11-13,roupas,Calca,3,976.68,Nordeste,27
59,2024-01-13,roupas,Jaqueta,7,806.19,Nordeste,18
60,2024-03-22,eletronicos,Monitor,1,861.42,Nordeste,13
61,2024-08-23,alimentos,Cafe,4,238.47,Nordeste,26
62,2024-06-17,alimentos,Arroz,5,364.12,Sul,26
63,2024-12-13,servicos,Treinamento,1,133.03,Centro-Oeste,12
64,2024-10-24,alimentos,Arroz,2,604.64,Centro-Oeste,47
65,2024-06-09,livros,Historia,9,133.33,Sul,13
66,2024-05-10,eletronicos,Monitor,1,529.52,Sul,44
67,2024-12-09,roupas,Jaqueta,7,88.57,Centro-Oeste,40
68,2024-06-09,eletronicos,Teclado,9,323.1,Sudeste,21
69,2024-07-25,alimentos,Acucar,3,208.0,Sudeste,44
70,2024-03-30,servicos,Design,5,417.95,Norte,20
71,2024-05-26,roupas,Tenis,10,614.53,Centro-Oeste,30
72,2024-08-14,livros,Python,9,483.72,Nordeste,43
73,2024-02-13,alimentos,Acucar,10,348.48,Nordeste,44
74,2024-06-07,roupas,Calca,3,43.94,Nordeste,31
75,2024-11-08,eletronicos,Monitor,7,888.41,Sul,13
76,2024-12-22,livros,Ficcao,7,259.1,Norte,49
77,2024-02-24,livros,Python,3,808.03,Sul,30
78,2024-01-26,servicos,Suporte,2,467.33,Sudeste,43
79,2024-09-28,servicos,Design,6,951.04,Sudeste,40
80,2024-09-15,livros,Historia,8,899.26,Sudeste,29
81,2024-05-12,roupas,Jaqueta,9,494.91,Nordeste,18
82,2024-08-13,eletronicos,Teclado,4,286.28,Centro-Oeste,35
