id,data,categoria,produto,quantidade,preco_unitario,regiao,cliente_id
1041,2024-10-21,roupas,Camiseta,10,883.23,Norte,33
1024,2024-04-26,eletronicos,Mouse,7,872.49,Sudeste,15
73,2024-02-13,alimentos,Acucar,17,986.91,Nordeste,44
130,2024-08-12,eletronicos,Monitor,5,705.74,Centro-Oeste,33
56,2024-10-09,roupas,Tenis,13,210.56,Centro-Oeste,3
87,2024-07-18,livros,Historia,9,803.87,Nordeste,32
1007,2024-06-21,livros,Engenharia,2,976.34,Sul,35
64,2024-10-24,alimentos,Arroz,3,231.38,Centro-Oeste,47
148,2024-08-16,servicos,Auditoria,6,345.79,Sul,25
104,2024-06-14,roupas,Camiseta,5,884.0,Nordeste,49
1016,2024-04-30,roupas,Camiseta,9,977.26,Sul,24
111,2024-06-25,livros,Historia,6,364.77,Sudeste,18
118,2024-06-23,roupas,Camiseta,5,942.24,Sudeste,8
1029,2024-08-02,roupas,Jaqueta,4,888.68,Sul,11
55,2024-02-27,eletronicos,Mouse,3,976.32,Centro-Oeste,38
27,2024-12-19,roupas,Jaqueta,15,275.2,Centro-Oeste,29
1050,2024-02-25,roupas,Jaqueta,2,703.14,Sudeste,10
1023,2024-06-15,livros,Python,6,245.46,Norte,21
83,2024-02-11,roupas,Calca,4,395.37,Nordeste,46
33,2024-02-18,eletronicos,Monitor,4,922.03,Sudeste,47
138,2024-02-29,livros,Historia,1,664.51,Sul,30
110,2024-12-20,roupas,Jaqueta,10,381.64,Sul,34
1048,2024-09-29,alimentos,Oleo,10,380.78,Norte,13
16,2024-10-25,livros,Engenharia,9,242.25,Nordeste,33
30,2024-11-19,eletronicos,Mouse,12,164.99,Centro-Oeste,5
1040,2024-01-17,alimentos,Oleo,5,704.09,Sul,35
1030,2024-11-22,servicos,Suporte,10,970.73,Nordeste,6
61,2024-08-23,alimentos,Cafe,12,31.95,Nordeste,26
26,2024-03-25,alimentos,Acucar,11,583.03,Nordeste,35
1039,2024-08-25,eletronicos,Notebook,7,895.57,Centro-Oeste,34
4,2024-11-28,servicos,Auditoria,16,359.77,Centro-Oeste,1
100,2024-06-26,servicos,Auditoria,6,87.58,Centro-Oeste,1
115,2024-04-26,alimentos,Feijao,5,33.87,Sul,9
60,2024-03-22,eletronicos,Monitor,14,382.24,Nordeste,13
147,2024-01-02,alimentos,Cafe,10,588.32,Sudeste,10
1019,2024-03-31,roupas,Camiseta,1,651.96,Centro-Oeste,14
1027,2024-04-09,alimentos,Cafe,4,349.17,Norte,45
51,2024-02-29,eletronicos,Webcam,19,535.91,Sul,14
85,2024-02-01,roupas,Tenis,7,906.74,Sul,45
6,2024-02-17,livros,Rust,1,305.69,Sul,17
43,2024-02-05,servicos,Consultoria,15,351.91,Sul,16
86,2024-01-11,servicos,Auditoria,8,25.78,Centro-Oeste,20
1025,2024-02-07,livros,Historia,8,73.25,Sudeste,10
1015,2024-09-12,servicos,Consultoria,5,360.9,Norte,36
50,2024-12-07,servicos,Treinamento,20,648.49,Nordeste,17
1038,2024-08-20,livros,Python,7,201.25,Centro-Oeste,41
80,2024-09-15,livros,Historia,8,899.26,Sudeste,29
1001,2024-06-22,eletronicos,Teclado,1,417.4,Nordeste,42
9,2024-12-04,roupas,Jaqueta,17,651.78,Norte,25
76,2024-12-22,livros,Ficcao,7,259.1,Norte,49
1010,2024-03-25,livros,Python,10,59.88,Norte,41
91,2024-08-07,roupas,Tenis,3,69.28,Sudeste,21
95,2024-01-11,servicos,Suporte,4,143.7,Norte,37
84,2024-04-19,eletronicos,Monitor,7,344.26,Sudeste,27
114,2024-10-28,servicos,Design,5,980.9,Nordeste,19
12,2024-08-24,livros,Engenharia,17,845.07,Centro-Oeste,50
113,2024-10-01,roupas,Calca,4,743.83,Centro-Oeste,47
49,2024-03-21,livros,Historia,3,339.84,Sul,1
34,2024-01-28,eletronicos,Notebook,13,932.45,Norte,16
109,2024-12-30,livros,Ficcao,1,111.19,Nordeste,26
57,2024-07-02,roupas,Calca,11,611.11,Sul,27
125,2024-03-21,eletronicos,Monitor,8,695.58,Sudeste,19
102,2024-03-19,livros,Python,9,966.16,Centro-Oeste,40
94,2024-06-28,roupas,Camiseta,1,759.15,Nordeste,13
101,2024-08-03,livros,Rust,7,961.57,Sudeste,46
1022,2024-09-20,eletronicos,Notebook,4,726.98,Sul,38
1044,2024-12-29,roupas,Calca,6,253.86,Norte,42
62,2024-06-17,alimentos,Arroz,12,364.33,Sul,26
3,2024-04-21,roupas,Meia,18,933.09,Nordeste,46
17,2024-09-09,eletronicos,Notebook,12,971.31,Nordeste,44
117,2024-09-08,eletronicos,Notebook,10,298.65,Sudeste,29
123,2024-11-13,eletronicos,Webcam,2,948.64,Nordeste,41
59,2024-01-13,roupas,Jaqueta,12,409.61,Nordeste,18
54,2024-05-14,roupas,Tenis,15,683.52,Sul,1
141,2024-12-23,livros,Rust,1,973.68,Sul,16
1008,2024-03-11,alimentos,Feijao,1,601.22,Centro-Oeste,5
1002,2024-12-07,servicos,Auditoria,9,165.97,Sul,15
1012,2024-01-04,roupas,Camiseta,10,889.18,Sudeste,45
79,2024-09-28,servicos,Design,6,951.04,Sudeste,40
72,2024-08-14,livros,Python,16,988.61,Nordeste,43
1017,2024-10-03,servicos,Suporte,8,774.92,Nordeste,18
29,2024-10-28,servicos,Suporte,2,672.24,Norte,46
65,2024-06-09,livros,Historia,15,746.7,Sul,13
20,2024-05-16,alimentos,Arroz,6,626.26,Sudeste,1
28,2024-09-21,livros,Rust,6,221.05,Centro-Oeste,2
134,2024-09-22,livros,Engenharia,3,997.01,Sudeste,41
21,2024-05-14,servicos,Suporte,6,717.58,Centro-Oeste,41
44,2024-10-23,servicos,Consultoria,4,737.01,Sul,37
53,2024-11-20,livros,Engenharia,3,547.64,Nordeste,41
1011,2024-11-09,livros,Python,1,882.03,Norte,1
1037,2024-09-02,alimentos,Feijao,8,860.76,Sul,2
37,2024-01-26,servicos,Consultoria,18,976.09,Nordeste,11
1043,2024-01-21,alimentos,Cafe,3,655.21,Norte,36
1006,2024-02-28,livros,Historia,10,236.16,Nordeste,28
1049,2024-08-22,eletronicos,Notebook,7,899.99,Centro-Oeste,5
19,2024-05-08,servicos,Consultoria,10,466.81,Sul,49
1018,2024-01-28,roupas,Camiseta,3,691.54,Sudeste,32
128,2024-02-28,servicos,Suporte,3,910.24,Nordeste,5
69,2024-07-25,alimentos,Acucar,14,156.78,Sudeste,44
116,2024-05-20,eletronicos,Notebook,9,306.29,Nordeste,41
47,2024-08-22,servicos,Design,1,413.6,Nordeste,33
89,2024-12-13,livros,Python,8,921.15,Sul,35
90,2024-01-14,livros,Historia,10,669.74,Norte,42
131,2024-10-03,livros,Ficcao,2,606.08,Sudeste,48
137,2024-07-24,servicos,Consultoria,8,106.3,Centro-Oeste,21
39,2024-07-13,eletronicos,Monitor,10,484.43,Sudeste,19
103,2024-10-02,livros,Ficcao,7,829.22,Sul,18
88,2024-04-22,alimentos,Oleo,8,48.44,Centro-Oeste,43
106,2024-04-03,livros,Python,6,801.88,Centro-Oeste,18
41,2024-10-23,servicos,Consultoria,19,673.55,Sul,31
135,2024-09-08,eletronicos,Monitor,6,420.18,Centro-Oeste,43
133,2024-01-11,alimentos,Acucar,1,767.85,Nordeste,31
22,2024-09-16,servicos,Suporte,10,198.63,Nordeste,35
97,2024-02-28,roupas,Jaqueta,2,587.11,Centro-Oeste,37
1020,2024-08-10,alimentos,Cafe,10,809.05,Sudeste,3
129,2024-01-31,roupas,Jaqueta,10,753.98,Sul,19
1036,2024-07-27,roupas,Calca,6,309.87,Norte,2
24,2024-06-06,roupas,Camiseta,5,178.03,Norte,6
81,2024-05-12,roupas,Jaqueta,9,494.91,Nordeste,18
99,2024-12-22,alimentos,Acucar,2,800.3,Sul,3
25,2024-09-05,eletronicos,Webcam,4,60.33,Sudeste,36
66,2024-05-10,eletronicos,Monitor,14,807.61,Sul,44
10,2024-05-22,livros,Engenharia,14,587.13,Nordeste,43
120,2024-03-17,servicos,Treinamento,2,994.04,Norte,36
139,2024-07-30,eletronicos,Mouse,9,374.54,Sudeste,41
1021,2024-02-23,eletronicos,Webcam,3,174.88,Norte,32
140,2024-08-14,eletronicos,Mouse,5,558.24,Centro-Oeste,29
1035,2024-02-20,livros,Ficcao,4,101.43,Norte,45
13,2024-01-29,roupas,Camiseta,15,468.85,Norte,14
136,2024-02-23,roupas,Jaqueta,7,699.8,Centro-Oeste,43
108,2024-05-03,livros,Ficcao,9,763.0,Sudeste,42
1005,2024-02-19,livros,Historia,3,838.65,Norte,7
1046,2024-12-14,livros,Engenharia,1,82.1,Centro-Oeste,29
14,2024-10-17,alimentos,Feijao,19,149.32,Sudeste,10
1034,2024-08-28,servicos,Consultoria,7,540.5,Sudeste,45
92,2024-04-18,livros,Engenharia,6,766.01,Sudeste,18
35,2024-04-08,roupas,Meia,5,948.83,Nordeste,18
1026,2024-04-20,servicos,Auditoria,3,399.58,Nordeste,30
82,2024-08-13,eletronicos,Teclado,4,286.28,Centro-Oeste,35
38,2024-07-27,livros,Ficcao,11,654.3,Norte,11
15,2024-05-15,roupas,Calca,10,188.3,Sul,28
42,2024-09-14,servicos,Suporte,19,733.97,Norte,12
1003,2024-02-06,eletronicos,Mouse,8,660.75,Sudeste,40
5,2024-03-22,livros,Engenharia,15,742.96,Centro-Oeste,7
132,2024-06-14,servicos,Treinamento,1,109.5,Sul,38
96,2024-04-21,livros,Engenharia,6,184.43,Sul,48
1009,2024-03-02,alimentos,Feijao,7,184.69,Centro-Oeste,36
122,2024-08-18,livros,Engenharia,10,990.23,Centro-Oeste,37
67,2024-12-09,roupas,Jaqueta,10,180.51,Centro-Oeste,40
112,2024-06-05,alimentos,Feijao,2,726.86,Centro-Oeste,8
145,2024-08-21,servicos,Suporte,7,206.8,Sul,33
124,2024-04-18,alimentos,Arroz,3,255.07,Sul,5
149,2024-08-21,alimentos,Feijao,4,580.36,Nordeste,50
93,2024-08-03,alimentos,Arroz,8,39.0,Sul,4
1004,2024-01-24,roupas,Calca,1,188.8,Norte,20
18,2024-08-04,servicos,Consultoria,2,165.37,Sudeste,34
1028,2024-10-18,eletronicos,Teclado,3,128.89,Sudeste,30
71,2024-05-26,roupas,Tenis,5,223.63,Centro-Oeste,30
31,2024-09-20,roupas,Jaqueta,15,549.07,Nordeste,47
8,2024-10-09,alimentos,Acucar,8,838.25,Norte,3
63,2024-12-13,servicos,Treinamento,15,876.82,Centro-Oeste,12
1033,2024-10-29,roupas,Meia,1,429.42,Norte,3
46,2024-05-15,livros,Python,18,134.54,Norte,1
1045,2024-09-01,servicos,Suporte,4,334.05,Centro-Oeste,33
74,2024-06-07,roupas,Calca,3,934.49,Nordeste,31
32,2024-10-19,servicos,Auditoria,6,542.97,Sudeste,13
121,2024-08-01,servicos,Design,10,241.17,Sul,25
1013,2024-08-31,roupas,Calca,3,647.03,Sul,29
1047,2024-09-05,servicos,Design,2,480.76,Sul,44
77,2024-02-24,livros,Python,3,808.03,Sul,30
68,2024-06-09,eletronicos,Teclado,14,734.03,Sudeste,21
40,2024-08-04,servicos,Auditoria,10,970.21,Nordeste,4
1,2024-11-23,eletronicos,Notebook,7,530.27,Nordeste,48
7,2024-01-23,livros,Historia,3,41.6,Sudeste,6
58,2024-11-13,roupas,Calca,17,944.53,Nordeste,27
1042,2024-12-11,alimentos,Arroz,2,395.3,Sudeste,40
144,2024-05-29,servicos,Treinamento,7,838.03,Sudeste,16
127,2024-12-17,roupas,Jaqueta,10,667.96,Nordeste,28
1031,2024-07-29,servicos,Auditoria,4,599.75,Sudeste,18
150,2024-07-29,eletronicos,Teclado,8,711.12,Sudeste,25
78,2024-01-26,servicos,Suporte,2,467.33,Sudeste,43
11,2024-05-16,eletronicos,Webcam,11,496.43,Nordeste,11
